op_name,dtype,M,K,N,time_ms,flops,bytes
cudagraph_matmul,float16,32768,8192,8192,74.849591,4398046511104,1207959552
cudagraph_matmul,float16,32768,8192,4096,38.674961,2199023255552,872415232
cudagraph_matmul,float16,32768,8192,2048,19.819516,1099511627776,704643072
cudagraph_matmul,float16,32768,8192,1024,10.104774,549755813888,620756992
cudagraph_matmul,float16,32768,8192,512,5.177743,274877906944,578813952
cudagraph_matmul,float16,32768,4096,8192,39.545937,2199023255552,872415232
cudagraph_matmul,float16,32768,4096,4096,20.069591,1099511627776,570425344
cudagraph_matmul,float16,32768,4096,2048,10.165630,549755813888,419430400
cudagraph_matmul,float16,32768,4096,1024,5.156115,274877906944,343932928
cudagraph_matmul,float16,32768,4096,512,2.684172,137438953472,306184192
cudagraph_matmul,float16,32768,2048,8192,20.243290,1099511627776,704643072
cudagraph_matmul,float16,32768,2048,4096,10.287010,549755813888,419430400
cudagraph_matmul,float16,32768,2048,2048,5.178024,274877906944,276824064
cudagraph_matmul,float16,32768,2048,1024,2.644263,137438953472,205520896
cudagraph_matmul,float16,32768,2048,512,1.343760,68719476736,169869312
cudagraph_matmul,float16,32768,1024,8192,10.506932,549755813888,620756992
cudagraph_matmul,float16,32768,1024,4096,5.356421,274877906944,343932928
cudagraph_matmul,float16,32768,1024,2048,2.699544,137438953472,205520896
cudagraph_matmul,float16,32768,1024,1024,1.381638,68719476736,136314880
cudagraph_matmul,float16,32768,1024,512,0.705675,34359738368,101711872
cudagraph_matmul,float16,32768,512,8192,5.576306,274877906944,578813952
cudagraph_matmul,float16,32768,512,4096,2.835476,137438953472,306184192
cudagraph_matmul,float16,32768,512,2048,1.439690,68719476736,169869312
cudagraph_matmul,float16,32768,512,1024,0.739271,34359738368,101711872
cudagraph_matmul,float16,32768,512,512,0.363227,17179869184,67633152
cudagraph_matmul,float16,16384,8192,8192,40.541860,2199023255552,671088640
cudagraph_matmul,float16,16384,8192,4096,20.609648,1099511627776,469762048
cudagraph_matmul,float16,16384,8192,2048,10.433600,549755813888,369098752
cudagraph_matmul,float16,16384,8192,1024,5.384254,274877906944,318767104
cudagraph_matmul,float16,16384,8192,512,2.741061,137438953472,293601280
cudagraph_matmul,float16,16384,4096,8192,20.432358,1099511627776,469762048
cudagraph_matmul,float16,16384,4096,4096,10.386121,549755813888,301989888
cudagraph_matmul,float16,16384,4096,2048,5.337067,274877906944,218103808
cudagraph_matmul,float16,16384,4096,1024,2.706453,137438953472,176160768
cudagraph_matmul,float16,16384,4096,512,1.381917,68719476736,155189248
cudagraph_matmul,float16,16384,2048,8192,10.386706,549755813888,369098752
cudagraph_matmul,float16,16384,2048,4096,5.262955,274877906944,218103808
cudagraph_matmul,float16,16384,2048,2048,2.783587,137438953472,142606336
cudagraph_matmul,float16,16384,2048,1024,1.376993,68719476736,104857600
