op_name,dtype,N,time_ms,flops,bytes
residual_add,float16,268435456,1.934504,268435456,1610612736
rmsnorm,float16,268435456,501.267509,1073741824,2147483648
softmax,float16,268435456,59.432499,1342177280,3221225472
swiglu,float16,268435456,3.198515,1342177280,1610612736
rope,float16,268435456,7.868128,1610612736,2147483648
residual_add,float16,134217728,0.972835,134217728,805306368
rmsnorm,float16,134217728,250.309120,536870912,1073741824
softmax,float16,134217728,29.721118,671088640,1610612736
swiglu,float16,134217728,1.603226,671088640,805306368
rope,float16,134217728,3.942374,805306368,1073741824
residual_add,float16,67108864,0.488749,67108864,402653184
rmsnorm,float16,67108864,125.429606,268435456,536870912
softmax,float16,67108864,14.862607,335544320,805306368
swiglu,float16,67108864,0.810519,335544320,402653184
rope,float16,67108864,2.005589,402653184,536870912
residual_add,float16,33554432,0.251861,33554432,201326592
rmsnorm,float16,33554432,63.031501,134217728,268435456
softmax,float16,33554432,7.494679,167772160,402653184
swiglu,float16,33554432,0.420449,167772160,201326592
rope,float16,33554432,1.057446,201326592,268435456
residual_add,float16,16777216,0.133505,16777216,100663296
rmsnorm,float16,16777216,20.666222,67108864,134217728
softmax,float16,16777216,3.773240,83886080,201326592
swiglu,float16,16777216,0.219989,83886080,100663296
rope,float16,16777216,0.555615,100663296,134217728
residual_add,float16,8388608,0.076503,8388608,50331648
rmsnorm,float16,8388608,10.328613,33554432,67108864
softmax,float16,8388608,1.897567,41943040,100663296
swiglu,float16,8388608,0.122240,41943040,50331648
rope,float16,8388608,0.307938,50331648,67108864
residual_add,float16,4194304,0.043721,4194304,25165824
rmsnorm,float16,4194304,5.193739,16777216,33554432
softmax,float16,4194304,0.963292,20971520,50331648
swiglu,float16,4194304,0.066828,20971520,25165824
rope,float16,4194304,0.195704,25165824,33554432
residual_add,float16,2097152,0.028761,2097152,12582912
rmsnorm,float16,2097152,2.467286,8388608,16777216
softmax,float16,2097152,0.462780,10485760,25165824
swiglu,float16,2097152,0.053442,10485760,12582912
rope,float16,2097152,0.246003,12582912,16777216
residual_add,float16,1048576,0.026664,1048576,6291456
rmsnorm,float16,1048576,0.893402,4194304,8388608
softmax,float16,1048576,0.226327,5242880,12582912
swiglu,float16,1048576,0.038452,5242880,6291456
rope,float16,1048576,0.251825,6291456,8388608
residual_add,float16,524288,0.034848,524288,3145728
rmsnorm,float16,524288,0.377040,2097152,4194304
softmax,float16,524288,0.125338,2621440,6291456
swiglu,float16,524288,0.052891,2621440,3145728
rope,float16,524288,0.264833,3145728,4194304
residual_add,float16,262144,0.035871,262144,1572864
rmsnorm,float16,262144,0.194937,1048576,2097152
softmax,float16,262144,0.069189,1310720,3145728
swiglu,float16,262144,0.038917,1310720,1572864
rope,float16,262144,0.202190,1572864,2097152
residual_add,float16,131072,0.028390,131072,786432
rmsnorm,float16,131072,0.106658,524288,1048576
softmax,float16,131072,0.040682,655360,1572864
swiglu,float16,131072,0.035968,655360,786432
rope,float16,131072,0.181510,786432,1048576
residual_add,float16,65536,0.028239,65536,393216
rmsnorm,float16,65536,0.063865,262144,524288
softmax,float16,65536,0.030996,327680,786432
swiglu,float16,65536,0.042663,327680,393216
rope,float16,65536,0.250901,393216,524288
residual_add,float16,32768,0.035903,32768,196608
rmsnorm,float16,32768,0.045700,131072,262144
softmax,float16,32768,0.025366,163840,393216
swiglu,float16,32768,0.040266,163840,196608
rope,float16,32768,0.190919,196608,262144
residual_add,float16,16384,0.027276,16384,98304
rmsnorm,float16,16384,0.036949,65536,131072
softmax,float16,16384,0.024224,81920,196608
swiglu,float16,16384,0.039489,81920,98304
rope,float16,16384,0.185279,98304,131072
residual_add,float16,8192,0.027553,8192,49152
rmsnorm,float16,8192,0.035515,32768,65536
softmax,float16,8192,0.026101,40960,98304
swiglu,float16,8192,0.048686,40960,49152
rope,float16,8192,0.198487,49152,65536
residual_add,float16,4096,0.026582,4096,24576
rmsnorm,float16,4096,0.036692,16384,32768
softmax,float16,4096,0.033209,20480,49152
swiglu,float16,4096,0.042389,20480,24576
rope,float16,4096,0.182862,24576,32768
residual_add,float16,2048,0.027824,2048,12288
rmsnorm,float16,2048,0.037582,8192,16384
softmax,float16,2048,0.024850,10240,24576
swiglu,float16,2048,0.039086,10240,12288
rope,float16,2048,0.206703,12288,16384
residual_add,float16,1024,0.036644,1024,6144
rmsnorm,float16,1024,0.035702,4096,8192
softmax,float16,1024,0.025154,5120,12288
swiglu,float16,1024,0.039394,5120,6144
rope,float16,1024,0.194266,6144,8192
residual_add,bfloat16,268435456,1.920048,268435456,1610612736
rmsnorm,bfloat16,268435456,503.758232,1073741824,2147483648
softmax,bfloat16,268435456,60.691251,1342177280,3221225472
swiglu,bfloat16,268435456,3.189241,1342177280,1610612736
rope,bfloat16,268435456,7.863824,1610612736,2147483648
residual_add,bfloat16,134217728,0.966873,134217728,805306368
rmsnorm,bfloat16,134217728,250.458010,536870912,1073741824
softmax,bfloat16,134217728,30.222396,671088640,1610612736
swiglu,bfloat16,134217728,1.610712,671088640,805306368
rope,bfloat16,134217728,3.986608,805306368,1073741824
residual_add,bfloat16,67108864,0.495213,67108864,402653184
rmsnorm,bfloat16,67108864,124.706047,268435456,536870912
softmax,bfloat16,67108864,15.138800,335544320,805306368
swiglu,bfloat16,67108864,0.817584,335544320,402653184
rope,bfloat16,67108864,2.021285,402653184,536870912
residual_add,bfloat16,33554432,0.253027,33554432,201326592
rmsnorm,bfloat16,33554432,63.135692,134217728,268435456
softmax,bfloat16,33554432,7.619553,167772160,402653184
swiglu,bfloat16,33554432,0.418833,167772160,201326592
rope,bfloat16,33554432,1.035165,201326592,268435456
residual_add,bfloat16,16777216,0.132553,16777216,100663296
rmsnorm,bfloat16,16777216,20.727641,67108864,134217728
softmax,bfloat16,16777216,3.830131,83886080,201326592
swiglu,bfloat16,16777216,0.219545,83886080,100663296
rope,bfloat16,16777216,0.575615,100663296,134217728
residual_add,bfloat16,8388608,0.076373,8388608,50331648
rmsnorm,bfloat16,8388608,10.374028,33554432,67108864
softmax,bfloat16,8388608,1.922302,41943040,100663296
swiglu,bfloat16,8388608,0.118281,41943040,50331648
rope,bfloat16,8388608,0.304423,50331648,67108864
residual_add,bfloat16,4194304,0.043915,4194304,25165824
rmsnorm,bfloat16,4194304,5.200160,16777216,33554432
softmax,bfloat16,4194304,0.977419,20971520,50331648
swiglu,bfloat16,4194304,0.066363,20971520,25165824
rope,bfloat16,4194304,0.198663,25165824,33554432
residual_add,bfloat16,2097152,0.029173,2097152,12582912
rmsnorm,bfloat16,2097152,2.472747,8388608,16777216
softmax,bfloat16,2097152,0.458919,10485760,25165824
swiglu,bfloat16,2097152,0.041628,10485760,12582912
rope,bfloat16,2097152,0.193376,12582912,16777216
residual_add,bfloat16,1048576,0.026582,1048576,6291456
rmsnorm,bfloat16,1048576,0.893409,4194304,8388608
softmax,bfloat16,1048576,0.227352,5242880,12582912
swiglu,bfloat16,1048576,0.038392,5242880,6291456
rope,bfloat16,1048576,0.182812,6291456,8388608
residual_add,bfloat16,524288,0.030380,524288,3145728
rmsnorm,bfloat16,524288,0.370307,2097152,4194304
softmax,bfloat16,524288,0.123181,2621440,6291456
swiglu,bfloat16,524288,0.039024,2621440,3145728
rope,bfloat16,524288,0.202518,3145728,4194304
residual_add,bfloat16,262144,0.027796,262144,1572864
rmsnorm,bfloat16,262144,0.190891,1048576,2097152
softmax,bfloat16,262144,0.071606,1310720,3145728
swiglu,bfloat16,262144,0.044668,1310720,1572864
rope,bfloat16,262144,0.192846,1572864,2097152
residual_add,bfloat16,131072,0.025881,131072,786432
rmsnorm,bfloat16,131072,0.107288,524288,1048576
softmax,bfloat16,131072,0.041492,655360,1572864
