op_name,dtype,b,nhk,nvh,kd,vd,s_q,time_ms,flops,bytes
gated_delta_rule,float16,256,16,32,128,128,32768,OOM,0,0
gated_delta_rule,float16,256,16,32,128,128,16384,OOM,0,0
gated_delta_rule,float16,256,16,32,128,128,8192,OOM,0,0
gated_delta_rule,float16,256,16,32,128,128,4096,OOM,0,0
gated_delta_rule,float16,256,16,32,128,128,2048,OOM,0,0
gated_delta_rule,float16,256,16,32,128,128,1024,OOM,0,0
gated_delta_rule,float16,256,16,32,128,128,512,34.385510,549755813888,4294967296.0
gated_delta_rule,float16,256,16,32,128,128,256,17.771280,274877906944,2147483648.0
gated_delta_rule,float16,256,16,32,128,128,128,9.572498,137438953472,1073741824.0
gated_delta_rule,float16,256,16,32,128,128,1,OOM,0,0
gated_delta_rule,float16,128,16,32,128,128,32768,OOM,0,0
gated_delta_rule,float16,128,16,32,128,128,16384,OOM,0,0
gated_delta_rule,float16,128,16,32,128,128,8192,OOM,0,0
gated_delta_rule,float16,128,16,32,128,128,4096,OOM,0,0
gated_delta_rule,float16,128,16,32,128,128,2048,OOM,0,0
gated_delta_rule,float16,128,16,32,128,128,1024,34.596122,549755813888,4294967296.0
gated_delta_rule,float16,128,16,32,128,128,512,17.390133,274877906944,2147483648.0
gated_delta_rule,float16,128,16,32,128,128,256,9.108601,137438953472,1073741824.0
gated_delta_rule,float16,128,16,32,128,128,128,4.913430,68719476736,536870912.0
gated_delta_rule,float16,128,16,32,128,128,1,OOM,0,0
gated_delta_rule,float16,64,16,32,128,128,32768,OOM,0,0
gated_delta_rule,float16,64,16,32,128,128,16384,OOM,0,0
gated_delta_rule,float16,64,16,32,128,128,8192,OOM,0,0
gated_delta_rule,float16,64,16,32,128,128,4096,OOM,0,0
gated_delta_rule,float16,64,16,32,128,128,2048,35.706661,549755813888,4294967296.0
gated_delta_rule,float16,64,16,32,128,128,1024,17.442675,274877906944,2147483648.0
gated_delta_rule,float16,64,16,32,128,128,512,8.787959,137438953472,1073741824.0
gated_delta_rule,float16,64,16,32,128,128,256,4.621774,68719476736,536870912.0
gated_delta_rule,float16,64,16,32,128,128,128,2.662805,34359738368,268435456.0
gated_delta_rule,float16,64,16,32,128,128,1,0.468796,268435456,134217728
gated_delta_rule,float16,16,16,32,128,128,32768,OOM,0,0
gated_delta_rule,float16,16,16,32,128,128,16384,OOM,0,0
gated_delta_rule,float16,16,16,32,128,128,8192,OOM,0,0
gated_delta_rule,float16,16,16,32,128,128,4096,18.056027,274877906944,2147483648.0
gated_delta_rule,float16,16,16,32,128,128,2048,8.850885,137438953472,1073741824.0
gated_delta_rule,float16,16,16,32,128,128,1024,4.485278,68719476736,536870912.0
gated_delta_rule,float16,16,16,32,128,128,512,2.463031,34359738368,268435456.0
gated_delta_rule,float16,16,16,32,128,128,256,1.636691,17179869184,134217728.0
gated_delta_rule,float16,16,16,32,128,128,128,1.321812,8589934592,67108864.0
gated_delta_rule,float16,16,16,32,128,128,1,0.270834,67108864,33554432
gated_delta_rule,float16,4,16,32,128,128,32768,OOM,0,0
gated_delta_rule,float16,4,16,32,128,128,16384,20.027914,274877906944,2147483648.0
gated_delta_rule,float16,4,16,32,128,128,8192,9.570983,137438953472,1073741824.0
gated_delta_rule,float16,4,16,32,128,128,4096,4.732972,68719476736,536870912.0
gated_delta_rule,float16,4,16,32,128,128,2048,2.550124,34359738368,268435456.0
gated_delta_rule,float16,4,16,32,128,128,1024,1.623525,17179869184,134217728.0
gated_delta_rule,float16,4,16,32,128,128,512,1.354745,8589934592,67108864.0
gated_delta_rule,float16,4,16,32,128,128,256,1.300216,4294967296,33554432.0
gated_delta_rule,float16,4,16,32,128,128,128,1.328303,2147483648,16777216.0
gated_delta_rule,float16,4,16,32,128,128,1,0.275060,16777216,8388608
gated_delta_rule,float16,1,16,32,128,128,32768,10.332445,137438953472,1073741824.0
gated_delta_rule,float16,1,16,32,128,128,16384,5.068500,68719476736,536870912.0
gated_delta_rule,float16,1,16,32,128,128,8192,2.661805,34359738368,268435456.0
gated_delta_rule,float16,1,16,32,128,128,4096,1.668971,17179869184,134217728.0
gated_delta_rule,float16,1,16,32,128,128,2048,1.308083,8589934592,67108864.0
gated_delta_rule,float16,1,16,32,128,128,1024,1.287300,4294967296,33554432.0
gated_delta_rule,float16,1,16,32,128,128,512,1.484379,2147483648,16777216.0
gated_delta_rule,float16,1,16,32,128,128,256,1.359302,1073741824,8388608.0
gated_delta_rule,float16,1,16,32,128,128,128,1.484295,536870912,4194304.0
gated_delta_rule,float16,1,16,32,128,128,1,0.330320,4194304,2097152
gated_delta_rule,float16,256,16,48,128,128,32768,OOM,0,0
gated_delta_rule,float16,256,16,48,128,128,16384,OOM,0,0
gated_delta_rule,float16,256,16,48,128,128,8192,OOM,0,0
gated_delta_rule,float16,256,16,48,128,128,4096,OOM,0,0
gated_delta_rule,float16,256,16,48,128,128,2048,OOM,0,0
gated_delta_rule,float16,256,16,48,128,128,1024,OOM,0,0
gated_delta_rule,float16,256,16,48,128,128,512,OOM,0,0
gated_delta_rule,float16,256,16,48,128,128,256,24.526723,412316860416,3221225472.0
gated_delta_rule,float16,256,16,48,128,128,128,13.494176,206158430208,1610612736.0
gated_delta_rule,float16,256,16,48,128,128,1,1.699206,1610612736,805306368
gated_delta_rule,float16,128,16,48,128,128,32768,OOM,0,0
gated_delta_rule,float16,128,16,48,128,128,16384,OOM,0,0
gated_delta_rule,float16,128,16,48,128,128,8192,OOM,0,0
gated_delta_rule,float16,128,16,48,128,128,4096,OOM,0,0
gated_delta_rule,float16,128,16,48,128,128,2048,OOM,0,0
gated_delta_rule,float16,128,16,48,128,128,1024,OOM,0,0
gated_delta_rule,float16,128,16,48,128,128,512,OOM,0,0
gated_delta_rule,float16,128,16,48,128,128,256,12.421803,206158430208,1610612736.0
gated_delta_rule,float16,128,16,48,128,128,128,6.852684,103079215104,805306368.0
gated_delta_rule,float16,128,16,48,128,128,1,0.984713,805306368,402653184
gated_delta_rule,float16,64,16,48,128,128,32768,OOM,0,0
gated_delta_rule,float16,64,16,48,128,128,16384,OOM,0,0
gated_delta_rule,float16,64,16,48,128,128,8192,OOM,0,0
gated_delta_rule,float16,64,16,48,128,128,4096,OOM,0,0
gated_delta_rule,float16,64,16,48,128,128,2048,OOM,0,0
gated_delta_rule,float16,64,16,48,128,128,1024,OOM,0,0
gated_delta_rule,float16,64,16,48,128,128,512,11.954322,206158430208,1610612736.0
gated_delta_rule,float16,64,16,48,128,128,256,6.357679,103079215104,805306368.0
gated_delta_rule,float16,64,16,48,128,128,128,3.549741,51539607552,402653184.0
gated_delta_rule,float16,64,16,48,128,128,1,0.589664,402653184,201326592
gated_delta_rule,float16,16,16,48,128,128,32768,OOM,0,0
gated_delta_rule,float16,16,16,48,128,128,16384,OOM,0,0
gated_delta_rule,float16,16,16,48,128,128,8192,OOM,0,0
gated_delta_rule,float16,16,16,48,128,128,4096,OOM,0,0
gated_delta_rule,float16,16,16,48,128,128,2048,12.035450,206158430208,1610612736.0
gated_delta_rule,float16,16,16,48,128,128,1024,6.085334,103079215104,805306368.0
gated_delta_rule,float16,16,16,48,128,128,512,3.217602,51539607552,402653184.0
gated_delta_rule,float16,16,16,48,128,128,256,1.987371,25769803776,201326592.0
gated_delta_rule,float16,16,16,48,128,128,128,1.466667,12884901888,100663296.0
gated_delta_rule,float16,16,16,48,128,128,1,0.301007,100663296,50331648
gated_delta_rule,float16,4,16,48,128,128,32768,OOM,0,0
gated_delta_rule,float16,4,16,48,128,128,16384,OOM,0,0
gated_delta_rule,float16,4,16,48,128,128,8192,12.443913,206158430208,1610612736.0
gated_delta_rule,float16,4,16,48,128,128,4096,6.268644,103079215104,805306368.0
gated_delta_rule,float16,4,16,48,128,128,2048,3.214115,51539607552,402653184.0
gated_delta_rule,float16,4,16,48,128,128,1024,1.943677,25769803776,201326592.0
gated_delta_rule,float16,4,16,48,128,128,512,1.460780,12884901888,100663296.0
gated_delta_rule,float16,4,16,48,128,128,256,1.280879,6442450944,50331648.0
gated_delta_rule,float16,4,16,48,128,128,128,1.297757,3221225472,25165824.0
gated_delta_rule,float16,4,16,48,128,128,1,0.255930,25165824,12582912
gated_delta_rule,float16,1,16,48,128,128,32768,14.207639,206158430208,1610612736.0
gated_delta_rule,float16,1,16,48,128,128,16384,7.373924,103079215104,805306368.0
gated_delta_rule,float16,1,16,48,128,128,8192,3.718058,51539607552,402653184.0
gated_delta_rule,float16,1,16,48,128,128,4096,2.146855,25769803776,201326592.0
gated_delta_rule,float16,1,16,48,128,128,2048,1.527212,12884901888,100663296.0
gated_delta_rule,float16,1,16,48,128,128,1024,1.304746,6442450944,50331648.0
gated_delta_rule,float16,1,16,48,128,128,512,1.375637,3221225472,25165824.0
gated_delta_rule,float16,1,16,48,128,128,256,1.315027,1610612736,12582912.0
gated_delta_rule,float16,1,16,48,128,128,128,1.277727,805306368,6291456.0
gated_delta_rule,float16,1,16,48,128,128,1,0.266755,6291456,3145728
conv1d,float16,256,8192,4,8192,1,32768,OOM,0,0
conv1d,float16,256,8192,4,8192,1,16384,OOM,0,0
conv1d,float16,256,8192,4,8192,1,8192,OOM,0,0
conv1d,float16,256,8192,4,8192,1,4096,OOM,0,0
conv1d,float16,256,8192,4,8192,1,2048,OOM,0,0
conv1d,float16,256,8192,4,8192,1,1024,OOM,0,0
conv1d,float16,256,8192,4,8192,1,512,5.287692,8589934592,17179869184
conv1d,float16,256,8192,4,8192,1,256,3.007550,4294967296,8589934592
conv1d,float16,256,8192,4,8192,1,128,2.595407,2147483648,4294967296
conv1d,float16,256,8192,4,8192,1,1,7.169341,16777216,33554432
conv1d,float16,128,8192,4,8192,1,32768,OOM,0,0
conv1d,float16,128,8192,4,8192,1,16384,OOM,0,0
conv1d,float16,128,8192,4,8192,1,8192,OOM,0,0
conv1d,float16,128,8192,4,8192,1,4096,OOM,0,0
conv1d,float16,128,8192,4,8192,1,2048,OOM,0,0
conv1d,float16,128,8192,4,8192,1,1024,OOM,0,0
conv1d,float16,128,8192,4,8192,1,512,2.692024,4294967296,8589934592
conv1d,float16,128,8192,4,8192,1,256,1.583181,2147483648,4294967296
