op_name,dtype,M,K,N,time_ms,flops,bytes
matmul,float16,32768,8192,8192,57.651609,4398046511104,1207959552
matmul,float16,32768,8192,4096,28.909188,2199023255552,872415232
matmul,float16,32768,8192,2048,14.469669,1099511627776,704643072
matmul,float16,32768,8192,1024,7.423005,549755813888,620756992
matmul,float16,32768,8192,512,3.854775,274877906944,578813952
matmul,float16,32768,4096,8192,29.419460,2199023255552,872415232
matmul,float16,32768,4096,4096,14.776832,1099511627776,570425344
matmul,float16,32768,4096,2048,7.385638,549755813888,419430400
matmul,float16,32768,4096,1024,3.746770,274877906944,343932928
matmul,float16,32768,4096,512,2.003679,137438953472,306184192
matmul,float16,32768,2048,8192,14.953793,1099511627776,704643072
matmul,float16,32768,2048,4096,7.524642,549755813888,419430400
matmul,float16,32768,2048,2048,3.740078,274877906944,276824064
matmul,float16,32768,2048,1024,1.939462,137438953472,205520896
matmul,float16,32768,2048,512,1.066608,68719476736,169869312
matmul,float16,32768,1024,8192,7.755532,549755813888,620756992
matmul,float16,32768,1024,4096,4.053684,274877906944,343932928
matmul,float16,32768,1024,2048,1.966708,137438953472,205520896
matmul,float16,32768,1024,1024,1.023309,68719476736,136314880
matmul,float16,32768,1024,512,0.541087,34359738368,101711872
matmul,float16,32768,512,8192,4.155712,274877906944,578813952
matmul,float16,32768,512,4096,2.092280,137438953472,306184192
matmul,float16,32768,512,2048,1.069344,68719476736,169869312
matmul,float16,32768,512,1024,0.559288,34359738368,101711872
matmul,float16,32768,512,512,0.286295,17179869184,67633152
matmul,float16,16384,8192,8192,29.484695,2199023255552,671088640
matmul,float16,16384,8192,4096,14.725316,1099511627776,469762048
matmul,float16,16384,8192,2048,7.495149,549755813888,369098752
matmul,float16,16384,8192,1024,3.886697,274877906944,318767104
matmul,float16,16384,8192,512,2.026750,137438953472,293601280
matmul,float16,16384,4096,8192,14.896434,1099511627776,469762048
matmul,float16,16384,4096,4096,7.448943,549755813888,301989888
matmul,float16,16384,4096,2048,3.894164,274877906944,218103808
matmul,float16,16384,4096,1024,2.040604,137438953472,176160768
matmul,float16,16384,4096,512,1.054260,68719476736,155189248
matmul,float16,16384,2048,8192,7.624419,549755813888,369098752
matmul,float16,16384,2048,4096,3.820792,274877906944,218103808
matmul,float16,16384,2048,2048,2.055396,137438953472,142606336
matmul,float16,16384,2048,1024,1.020701,68719476736,104857600
matmul,float16,16384,2048,512,0.550868,34359738368,85983232
matmul,float16,16384,1024,8192,3.944529,274877906944,318767104
matmul,float16,16384,1024,4096,2.054958,137438953472,176160768
matmul,float16,16384,1024,2048,1.029673,68719476736,104857600
matmul,float16,16384,1024,1024,0.551197,34359738368,69206016
matmul,float16,16384,1024,512,0.291709,17179869184,51380224
